Hotel,Stars,Room Type,Bed Type,Free Cancellation,Breakfast Included,Check-in Date,Check-out Date,City,Country,Stay Type,Nights,Rooms,Currency,CIT Hotel Price USD,Trip.com Price USD,Booking.com Price USD,vs Trip.com %,vs Booking %
The Ritz-Carlton Hotel Jakarta Pacific Place,5,NULL,1 Double Bed,Yes,No,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,222.82,257.00,256.00,13.30%,12.96%
Best Western Premier The Hive,5,NULL,2 Single Bed,No,Yes,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,39.94,40.00,43.00,0.15%,7.12%
Manhattan Hotel Jakarta,5,NULL,1 Double Bed,No,Yes,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,56.00,57.00,91.00,1.75%,38.46%
Hotel Gran Mahakam,5,NULL,2 Single Bed,Yes,No,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,81.26,107.00,100.00,24.06%,18.74%
Swissotel Living Jakarta Mega Kuningan,5,NULL,2 Single Bed,No,No,2026-06-13,2026-06-14,Jakarta,Indonesia,Weekend,1,1,USD,91.05,114.00,114.00,20.13%,20.13%
Vienna House by Wyndham Andel's Berlin,5,NULL,1 Double Bed,No,No,2026-06-16,2026-06-17,Berlin,Germany,Weekday,1,1,USD,109.18,186.00,186.00,41.30%,41.30%
Kyoto Tokyu Hotel,5,Standard Room,2 Single Beds,No,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,92.35,140.00,181.00,34.04%,48.98%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,No,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,127.50,195.00,182.00,34.62%,29.95%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,Yes,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,162.00,269.00,227.00,39.78%,28.63%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,No,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,144.50,211.00,200.00,31.52%,27.75%
Dhawa Yura Kyoto,5,Classic Room - No View,1 Extra-Large Double Bed,Yes,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,180.00,294.00,250.00,38.78%,28.00%
Dhawa Yura Kyoto,5,Premier King - Outdoor View,1 Extra-Large Double Bed,No,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,157.50,227.00,216.00,30.62%,27.08%
Dhawa Yura Kyoto,5,Premier King - Outdoor View,1 Extra-Large Double Bed,No,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,157.50,227.00,216.00,30.62%,27.08%
Dhawa Yura Kyoto,5,Premier King - Outdoor View,1 Extra-Large Double Bed,Yes,Yes,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,185.50,317.00,270.00,41.48%,31.30%
Dhawa Yura Kyoto,5,Premier King - Outdoor View,2 Extra-Large Double Bed,Yes,No,2026-06-27,2026-06-28,Kyoto,Japan,Weekend,1,1,USD,178.50,291.00,248.00,38.66%,28.02%
Eurostars Berlin,5,NULL,2 Single Bed,Yes,No,2026-06-16,2026-06-17,Berlin,Germany,Weekday,1,1,USD,141.57,277.00,291.00,48.89%,51.35%
Radisson Collection Hotel,5,NULL,1 Double Bed,Yes,No,2026-06-16,2026-06-17,Berlin,Germany,Weekday,1,1,USD,204.00,280.00,280.00,27.14%,27.14%
Roomers Berlin Steinplatz, Autograph Collection,5,NULL,2 Single Bed,Yes,No,2026-06-16,2026-06-17,Berlin,Germany,Weekday,1,1,USD,237.73,287.00,316.00,17.17%,24.77%
Berlin Marriott Hotel,5,NULL,1 Extra-Large Double Bed,Yes,No,2026-06-16,2026-06-17,Berlin,Germany,Weekday,1,1,USD,242.00,328.00,371.00,26.22%,34.77%
Eurostars Suites Mirasierra,5,NULL,2 Single Beds or 1 Double Bed,No,No,2026-06-22,2026-06-23,Madrid,Spain,Weekday,1,1,USD,109.84,146.00,157.00,24.77%,30.04%
Hotel Puerta America,5,NULL,2 Single Beds or 1 Double Bed,No,No,2026-06-22,2026-06-23,Madrid,Spain,Weekday,1,1,USD,132.32,185.00,166.00,28.48%,20.29%
Melia Madrid Princesa,5,NULL,2 Single Beds,No,No,2026-06-22,2026-06-23,Madrid,Spain,Weekday,1,1,USD,221.39,321.00,321.00,31.03%,31.03%
Hotel Nuevo Boston,4,NULL,2 Single Beds or 1 Extra-Large Double Bed,Yes,No,2026-06-22,2026-06-23,Madrid,Spain,Weekday,1,1,USD,103.32,139.00,139.00,25.67%,25.67%
Madrid Marriott Auditorium Hotel & Conference Center,4,NULL,1 Extra-Large Double Bed,Yes,No,2026-06-22,2026-06-23,Madrid,Spain,Weekday,1,1,USD,133.41,268.00,268.00,50.22%,50.22%
Radisson Blu Park Hotel,5,NULL,1 Extra-Large Double Bed or 2 Single Beds,No,No,2026-06-24,2026-06-25,Athens,Greece,Weekday,1,1,USD,203.83,286.00,284.00,28.73%,28.23%
The Athenaeum,5,NULL,1 Extra-Large Double Bed,No,No,2026-06-24,2026-06-25,Athens,Greece,Weekday,1,1,USD,273.12,377.00,327.00,27.55%,16.48%
JEN Hong Kong by Shangri-La,4,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Hong Kong,Hong Kong,Weekend,1,1,USD,295.00,336.00,360.00,12.20%,18.06%
Harbour Grand Hong Kong,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Hong Kong,Hong Kong,Weekend,1,1,USD,180.00,210.00,232.00,14.29%,22.41%
The Hari Hong Kong,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Hong Kong,Hong Kong,Weekend,1,1,USD,193.00,220.00,240.00,12.27%,19.58%
Kerry Hotel Hong Kong by Shangri-La,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Hong Kong,Hong Kong,Weekend,1,1,USD,276.63,410.00,410.00,32.53%,32.53%
Ramada Hong Kong Harbour View,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Hong Kong,Hong Kong,Weekend,1,1,USD,79.73,96.00,99.00,16.95%,19.46%
The Riviera Hotel Taipei,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Taipei,Taiwan,Weekend,1,1,USD,121.16,135.00,132.00,10.25%,8.21%
Hotel Royal Nikko Taipei,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Taipei,Taiwan,Weekend,1,1,USD,154.43,180.00,180.00,14.21%,14.21%
The Okura Prestige Taipei,5,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Taipei,Taiwan,Weekend,1,1,USD,235.32,241.00,271.00,2.36%,13.17%
Hotel Resonance Taipei-Tapestry Collection,4,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Taipei,Taiwan,Weekend,1,1,USD,174.38,194.00,194.00,10.11%,10.11%
Hotel Indigo Taipei North By IHG,4,NULL,NULL,NULL,NULL,2026-06-29,2026-06-30,Taipei,Taiwan,Weekend,1,1,USD,117.18,154.00,161.00,23.91%,27.22%
The People Paris Marais,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Paris,France,Weekday,1,1,USD,285.00,338.00,357.00,15.68%,20.17%
Boutet Bastille Hotel Paris - MGallery Collection,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Paris,France,Weekday,1,1,USD,467.00,632.00,632.00,26.11%,26.11%
Maison Albar Le Champs-Elysees,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Paris,France,Weekday,1,1,USD,426.00,494.00,495.00,13.77%,13.94%
Hotel Peyris Opera,4,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Paris,France,Weekday,1,1,USD,168.30,402.00,445.00,58.13%,62.18%
Hotel Eden Paris Porte de Versailles,4,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Paris,France,Weekday,1,1,USD,199.11,348.00,389.00,42.78%,48.81%
Hotel SB Diagonal Zero 4 Sup,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Barcelona,Spain,Weekday,1,1,USD,106.00,200.00,202.00,47.00%,47.52%
Catalonia Square,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Barcelona,Spain,Weekday,1,1,USD,220.00,338.00,337.00,34.91%,34.72%
Occidental Diagonal 414,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Barcelona,Spain,Weekday,1,1,USD,205.00,295.00,314.00,30.51%,34.71%
Negresco Princess,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Barcelona,Spain,Weekday,1,1,USD,193.55,348.00,348.00,44.38%,44.38%
Eurostars Barcelona Central,5,NULL,NULL,NULL,NULL,2026-06-27,2026-06-27,Barcelona,Spain,Weekday,1,1,USD,268.39,342.00,368.00,21.52%,27.07%
Rafayel Hotel & Spa,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,London,England,Weekday,1,1,USD,209.00,287.00,274.00,27.18%,23.72%
InterContinental Hotels London, The O2 by IHG,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,London,England,Weekday,1,1,USD,231.00,350.00,351.00,34.00%,34.19%
Limehouse Library Hotel,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,London,England,Weekday,1,1,USD,298.00,488.00,659.00,38.93%,54.78%
Radisson Blu Hotel,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,London,England,Weekday,1,1,USD,383.00,439.00,439.00,12.76%,12.76%
Hyatt Regency London Blackfriars,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,London,England,Weekday,1,1,USD,441.00,476.00,476.00,7.35%,7.35%
Leonardo Hotel Amsterdam Rembrandtpark,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Amsterdam,Netherlands,Weekday,1,1,USD,120.00,206.00,206.00,41.75%,41.75%
Crowne Plaza Amsterdam - South by IHG,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Amsterdam,Netherlands,Weekday,1,1,USD,187.00,296.00,281.00,36.82%,33.45%
Grand Hotel Amrath Amsterdam,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Amsterdam,Netherlands,Weekday,1,1,USD,369.00,520.00,444.00,29.04%,16.89%
Bilderberg Garden Hotel,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Amsterdam,Netherlands,Weekday,1,1,USD,175.00,279.00,263.00,37.28%,33.46%
Hotel Arena,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Amsterdam,Netherlands,Weekday,1,1,USD,211.00,386.00,371.00,45.34%,43.13%
The Manila Hotel,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Manila,Philippines,Weekday,1,1,USD,107.00,116.00,150.00,7.76%,28.67%
Diamond Hotel Manila,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Manila,Philippines,Weekday,1,1,USD,87.00,92.00,160.00,5.43%,45.63%
InterContinental Residences Dubai Business Bay by IHG,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Dubai,UAE,Weekday,1,1,USD,100.00,184.00,184.00,45.65%,45.65%
Shangri-La Dubai,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Dubai,UAE,Weekday,1,1,USD,103.00,119.00,119.00,13.45%,13.45%
The H Dubai,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Dubai,UAE,Weekday,1,1,USD,104.00,119.00,162.00,12.61%,35.80%
FIVE Palm Jumeirah Dubai,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Dubai,UAE,Weekday,1,1,USD,112.00,146.00,172.00,23.29%,34.88%
Grand Hyatt Residence,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Dubai,UAE,Weekday,1,1,USD,132.00,249.00,289.00,46.99%,54.33%
Grand Millennium Kuala Lumpur,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Kuala Lumpur,Malaysia,Weekday,1,1,USD,104.00,133.00,127.00,21.80%,18.11%
JW Marriott Kuala Lumpur,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Kuala Lumpur,Malaysia,Weekday,1,1,USD,119.00,141.00,139.00,15.60%,14.39%
The RuMa Hotel and Residence,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Kuala Lumpur,Malaysia,Weekday,1,1,USD,159.00,174.00,168.00,8.62%,5.36%
Hotel Stripes Kuala Lumpur, Autograph Collection,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Kuala Lumpur,Malaysia,Weekday,1,1,USD,81.00,98.00,81.00,17.35%,0.00%
The St. Regis Kuala Lumpur,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Kuala Lumpur,Malaysia,Weekday,1,1,USD,271.00,347.00,311.00,21.90%,12.86%
Grand Prince Hotel Shin Takanawa,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Tokyo,Japan,Weekday,1,1,USD,147.00,183.00,209.00,19.67%,29.67%
HILTON Tokyo Odaiba,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Tokyo,Japan,Weekday,1,1,USD,183.00,315.00,316.00,41.90%,42.09%
Mitsui Garden Hotel Ginza Premier,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Tokyo,Japan,Weekday,1,1,USD,184.00,223.00,287.00,17.49%,35.89%
Mitsui Garden Hotel Nihonbashi Premier,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Tokyo,Japan,Weekday,1,1,USD,201.00,227.00,287.00,11.45%,29.97%
Keio Plaza Hotel Tokyo,5,NULL,NULL,NULL,NULL,2026-06-26,2026-06-27,Tokyo,Japan,Weekday,1,1,USD,217.00,232.00,330.00,6.47%,34.24%
Sina Bernini Bristol,5,NULL,NULL,NULL,NULL,2026-06-03,2026-06-04,Rome,Italy,Weekday,1,1,USD,646.00,942.00,804.00,31.42%,19.65%
The Westin Excelsior,5,NULL,NULL,NULL,NULL,2026-06-03,2026-06-04,Rome,Italy,Weekday,1,1,USD,709.00,2200.00,987.00,67.77%,28.17%
Hotel Splendide Royal,5,NULL,NULL,NULL,NULL,2026-06-03,2026-06-04,Rome,Italy,Weekday,1,1,USD,700.00,1600.00,1130.00,56.25%,38.05%
Baglioni Hotel Regina,5,NULL,NULL,NULL,NULL,2026-06-03,2026-06-04,Rome,Italy,Weekday,1,1,USD,834.00,994.00,960.00,16.10%,13.13%
Palazzo Montemartini Rome,5,NULL,NULL,NULL,NULL,2026-06-03,2026-06-04,Rome,Italy,Weekday,1,1,USD,386.00,646.00,514.00,40.25%,24.90%
Mondrian Seoul Itaewon,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Seoul,South Korea,Weekday,1,1,USD,195.21,269.00,280.00,27.43%,30.28%
Novotel Suites Ambassador Seoul Yongsan,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Seoul,South Korea,Weekday,1,1,USD,178.73,232.00,210.00,22.96%,14.89%
The Ambassador Seoul,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Seoul,South Korea,Weekday,1,1,USD,200.00,434.00,337.00,53.92%,40.65%
Courtyard by Marriott Seoul Namdaemun,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Seoul,South Korea,Weekday,1,1,USD,248.00,308.00,310.00,19.48%,20.00%
The Westin Josun Seoul,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Seoul,South Korea,Weekday,1,1,USD,369.00,454.00,446.00,18.72%,17.26%
Studio M Hotel,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Singapore,Singapore,Weekday,1,1,USD,113.24,151.00,151.00,25.01%,25.01%
One Farrer Hotel,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Singapore,Singapore,Weekday,1,1,USD,179.34,254.00,228.00,29.39%,21.34%
Pullman Singapore Orchard,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Singapore,Singapore,Weekday,1,1,USD,214.00,261.00,261.00,18.01%,18.01%
Oasia Resort Sentosa by Far East Hospitality,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Singapore,Singapore,Weekday,1,1,USD,150.36,175.00,175.00,14.08%,14.08%
Grand Park City Hall,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Singapore,Singapore,Weekday,1,1,USD,159.00,200.00,195.00,20.50%,18.46%
The Reverie Saigon,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,216.00,246.00,252.00,12.20%,14.29%
Mia SaiGon Luxury Boutique Hotel,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,214.00,242.00,232.00,11.57%,7.76%
Hilton Saigon,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,175.00,215.00,216.00,18.60%,18.98%
An Lam Retreats Saigon River,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,350.00,348.00,428.00,-0.57%,18.22%
Sofitel Saigon Plaza,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,147.00,153.00,207.00,3.92%,28.99%
SILA Urban Living,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,80.80,98.00,97.00,17.55%,16.70%
Sherwood Residence,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,96.00,112.00,98.00,14.29%,2.04%
The Myst Dong Khoi,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Ho Chi Minh,Vietnam,Weekday,1,1,USD,137.54,197.00,195.00,30.18%,29.47%
Four Seasons Hotel Kuala Lumpur,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,326.30,373.76,413.00,12.70%,21.00%
Sofitel Kuala Lumpur Damansara,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,114.55,130.78,130.07,12.42%,11.94%
Hilton Kuala Lumpur,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,111.60,132.67,132.86,15.88%,16.05%
Hyatt House Kuala Lumpur, Mont Kiara,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,86.81,130.92,109.15,33.70%,20.43%
Hotel Stripes Kuala Lumpur, Autograph Collection,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,89.53,98.97,98.97,9.54%,9.54%
The Majestic Hotel Kuala Lumpur, Autograph Collection,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,106.31,121.20,121.32,12.28%,12.37%
Parkroyal Collection Kuala Lumpur,5,NULL,NULL,NULL,NULL,2026-06-05,2026-06-06,Kuala Lumpur,Malaysia,Weekday,1,1,USD,107.55,139.58,213.26,22.96%,49.57%
Ambrosia Suites & Aparts,4,NULL,1 Extra-Large Double Bed or 2 Single Beds,Yes,Yes,2026-06-24,2026-06-25,Athens,Greece,Weekday,1,1,USD,73.45,83.00,89.00,11.51%,17.47%
Casual Kubic Athens,4,NULL,1 Extra-Large Double Bed or 2 Single Beds,No,Yes,2026-06-24,2026-06-25,Athens,Greece,Weekday,1,1,USD,158.00,171.00,160.00,7.60%,1.25%
Athenaeum Eridanus Luxury Hotel,4,NULL,1 Extra-Large Double Bed or 2 Single Beds,Yes,Yes,2026-06-24,2026-06-25,Athens,Greece,Weekday,1,1,USD,164.00,187.00,267.00,12.30%,38.58%
Titania Hotel,4,NULL,1 Extra-Large Double Bed or 2 Single Beds,No,Yes,2026-06-24,2026-06-25,Athens,Greece,Weekday,1,1,USD,161.00,225.00,187.00,28.44%,13.90%
